city,gender,age,practice_traditional_food,health_factor
Surabaya,Male,28,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,38,Strongly Agree,Strongly Agree
Surabaya,Female,63,Strongly Agree,Strongly Agree
Surabaya,Female,35,Strongly Agree,Strongly Agree
Surabaya,Female,30,Strongly Agree,Strongly Agree
Surabaya,Female,61,Strongly Agree,Strongly Agree
Surabaya,Female,30,Agree,Agree
Surabaya,Female,45,Agree,Neither agree nor disagree
Surabaya,Female,27,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,26,Agree,Agree
Surabaya,Male,52,Disagree,Disagree
Surabaya,Male,59,Agree,Agree
Surabaya,Male,34,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,35,Neither agree nor disagree,Agree
Surabaya,Female,60,Strongly Agree,Strongly Agree
Surabaya,Male,50,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,40,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,30,Agree,Neither agree nor disagree
Surabaya,Female,61,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,32,Strongly Agree,Strongly Agree
Surabaya,Female,43,Agree,Agree
Surabaya,Female,29,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,36,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,40,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,55,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,33,Disagree,Disagree
Surabaya,Female,34,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,28,Strongly Agree,Strongly Agree
Surabaya,Female,30,Agree,Agree
Surabaya,Male,29,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,25,Disagree,Disagree
Surabaya,Female,36,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,52,Agree,Agree
Surabaya,Female,59,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,54,Agree,Strongly Disagree
Surabaya,Female,47,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,28,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,48,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,36,Strongly Agree,Strongly Agree
Surabaya,Female,39,Strongly Agree,Strongly Agree
Surabaya,Male,53,Strongly Agree,Disagree
Surabaya,Male,57,Agree,Agree
Surabaya,Male,46,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,53,Disagree,Disagree
Surabaya,Female,58,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,62,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,26,Disagree,Disagree
Surabaya,Male,61,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,25,Disagree,Disagree
Surabaya,Male,32,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,33,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,25,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,51,Agree,Agree
Surabaya,Female,32,Disagree,Disagree
Surabaya,Female,42,Agree,Agree
Surabaya,Female,31,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,29,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,41,Strongly Agree,Strongly Agree
Surabaya,Female,63,Neither agree nor disagree,Agree
Surabaya,Female,54,Neither agree nor disagree,Agree
Surabaya,Male,51,Agree,Disagree
Surabaya,Male,24,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,61,Strongly Agree,Strongly Agree
Surabaya,Male,32,Agree,Disagree
Surabaya,Female,42,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,50,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,56,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Male,26,Neither agree nor disagree,Neither agree nor disagree
Surabaya,Female,32,Disagree,Neither agree nor disagree
Surabaya,Female,40,Neither agree nor disagree,Agree
Surabaya,Female,33,Strongly Agree,Neither agree nor disagree
Surabaya,Female,26,Agree,Agree
Makasar,Female,42,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,31,Disagree,Disagree
Makasar,Male,27,Neither agree nor disagree,Disagree
Makasar,Male,52,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,63,Neither agree nor disagree,Neither agree nor disagree
Makasar,Male,55,Agree,Neither agree nor disagree
Makasar,Female,49,Disagree,Disagree
Makasar,Male,54,Agree,Agree
Makasar,Male,61,Neither agree nor disagree,Disagree
Makasar,Male,27,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,42,Strongly Agree,Strongly Agree
Makasar,Female,45,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,50,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,34,Agree,Agree
Makasar,Female,32,Neither agree nor disagree,Neither agree nor disagree
Makasar,Female,38,Strongly Agree,Agree
Makasar,Female,31,Agree,Agree
Makasar,Female,36,Neither agree nor disagree,Neither agree nor disagree
