a1_city,a2_province,b3_gender,b4_age,b5_religion,b6_ethnic,b7_education_level,b8_lived_in_urban_area_years,b9_occupation,b10_social_clas,b11_household_member,c12_household_income_monthly_in_million_idr,c13_time_of_income_receipt,c14_household_expenditure_monthly_in_million_idr,c15_%_monthly_expenditure_for_food,d16_health_factor,d17_price_factor,e18_religious_value_in_type_of_food,e19_religious_value_in_eating_places,e20_religious_value_in_consumption_pattern,e21_custom_value_in_type_of_food,e22_custom_value_in_eating_places,e23_custom_value_in_consumption_pattern,24_practice_of_food_consumption_based_on_religious_rules,25_practice_of_food_consumption_based_on_custom_rules,e26_buying_food_product_in_the_right_place_based_on_religious_rules,e27_type_of_dishes_variation_based_on_religious_rules,e28_practice_of_consuming_traditional_food
Jakarta,DKI Jakarta,Female,27,Islam,Java,Master and doctoral degree,27,Enterpreneur,Lower Class,6,03:08:00,Daily,03:07:00,57,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree
Jakarta,DKI Jakarta,Female,31,Islam,Java,Diploma,31,Government Employees,Middle Class,6,06:02:00,Weekly,06:01:00,43,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,24,Islam,Sunda,Bachelor degree,24,Government Employees,Middle Class,7,05:08:00,Weekly,05:07:00,38,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,40,Catholic,Java,Master and doctoral degree,40,Government Employees,Lower Class,8,03:01:00,Daily,03:00:00,61,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,65,Catholic,Other,Bachelor degree,25,Government Employees,Middle Class,7,03:04:00,Weekly,03:03:00,58,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Female,31,Protestant,Java,Bachelor degree,21,Government Employees,Middle Class,7,05:06:00,Weekly,05:05:00,34,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,25,Protestant,Other,Bachelor degree,25,Government Employees,Upper Class,7,12:01:00,Monthly,12:00:00,26,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,41,Islam,Java,Bachelor degree,21,Government Employees,Lower Class,7,02:09:00,Daily,02:08:00,57,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,65,Islam,Java,Senior High School,27,Enterpreneur,Upper Class,5,10:03:00,Monthly,10:02:00,24,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,38,Islam,Java,Diploma,18,Enterpreneur,Upper Class,6,14:02:00,Monthly,14:01:00,27,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Male,47,Islam,Java,Diploma,27,Enterpreneur,Lower Class,6,03:04:00,Daily,03:03:00,67,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,28,Islam,Java,Bachelor degree,28,Enterpreneur,Middle Class,6,06:07:00,Weekly,06:06:00,36,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,48,Islam,Sunda,Master and doctoral degree,38,Enterpreneur,Middle Class,6,05:08:00,Weekly,05:07:00,42,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,27,Islam,Java,Bachelor degree,27,Enterpreneur,Lower Class,6,02:03:00,Daily,02:02:00,73,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,39,Islam,Java,Bachelor degree,39,Independent Worker,Lower Class,7,04:09:00,Daily,04:08:00,41,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,53,Islam,Bugis,Diploma,21,Independent Worker,Middle Class,6,05:09:00,Weekly,05:08:00,33,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Jakarta,DKI Jakarta,Female,57,Islam,Java,Diploma,24,Independent Worker,Upper Class,6,11:04:00,Monthly,11:03:00,19,Agree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
